age,body_type,diet,diet_intensity,drinks,drugs,education_type,education_progress,ethnicity,height,income,job,offspring,has_kids,orientation,religion,religion_intensity,sex,sign,sign_intensity,smokes,speaks,status,has_dogs,has_cats,likes_dogs,likes_cats
25,athletic,NA,NA,socially,NA,college/university,graduated from,asian,69,NA,science / tech / engineering,NA,NA,straight,NA,NA,male,NA,NA,no,"english (fluently), chinese (okay), spanish (poorly)",single,FALSE,FALSE,TRUE,NA
38,athletic,anything,mostly,socially,NA,college/university,graduated from,"white, other",69,100000,computer / hardware / software,NA,NA,straight,other,laughing,male,libra,it's fun to think about,no,"english (fluently), spanish (poorly), portuguese (poorly)",single,NA,NA,NA,NA
19,full figured,anything,mostly,socially,never,NA,NA,hispanic / latin,65,20000,other,"doesn't have kids, but wants them",FALSE,bisexual,catholicism,NA,female,leo,it's fun to think about,sometimes,"english, spanish",single,NA,NA,NA,NA
65,curvy,anything,mostly,not at all,never,masters program,graduated from,white,67,50000,medicine / health,"doesn't have kids, and doesn't want any",FALSE,straight,other,very serious,female,capricorn,it matters a lot,no,english,single,FALSE,FALSE,TRUE,TRUE
45,average,anything,mostly,socially,never,med school,graduated from,white,64,NA,medicine / health,has a kid,TRUE,straight,other,NA,female,virgo,it doesn't matter,no,english,single,TRUE,FALSE,TRUE,NA
60,thin,anything,mostly,socially,never,high school,graduated from,white,63,NA,banking / financial / real estate,"has kids, but doesn't want more",TRUE,straight,agnosticism,not too serious,female,scorpio,it doesn't matter,no,english,single,FALSE,FALSE,TRUE,NA
48,average,anything,mostly,socially,never,masters program,graduated from,white,66,NA,education / academia,NA,NA,straight,judaism,NA,female,aquarius,it doesn't matter,no,"english (fluently), french (okay)",single,FALSE,TRUE,TRUE,TRUE
29,fit,anything,mostly,socially,never,college/university,graduated from,indian,72,100000,computer / hardware / software,doesn't have kids,FALSE,straight,hinduism,NA,male,cancer,it's fun to think about,sometimes,"english (fluently), hindi (fluently), c++ (fluently)",single,NA,NA,NA,NA
24,thin,anything,mostly,socially,never,college/university,graduated from,asian,66,NA,NA,doesn't have kids,FALSE,straight,NA,NA,female,sagittarius,it's fun to think about,no,"english, chinese",single,FALSE,FALSE,TRUE,NA
30,fit,NA,NA,socially,never,college/university,graduated from,white,64,NA,computer / hardware / software,NA,NA,straight,agnosticism,laughing,male,libra,it doesn't matter,no,"english (fluently), c++ (fluently), french (okay), portuguese (poorly)",seeing someone,FALSE,FALSE,TRUE,TRUE
20,average,anything,mostly,often,often,college/university,working on,white,62,NA,student,"doesn't have kids, but might want them",FALSE,straight,atheism,somewhat serious,female,leo,it's fun to think about,sometimes,"english, french (okay)",single,FALSE,FALSE,TRUE,TRUE
65,average,other,mostly,socially,never,masters program,graduated from,white,67,NA,other,NA,NA,bisexual,other,very serious,female,taurus,NA,no,english (fluently),single,FALSE,FALSE,TRUE,TRUE
30,thin,vegetarian,mostly,rarely,never,college/university,graduated from,white,70,NA,medicine / health,"doesn't have kids, but might want them",FALSE,straight,other,very serious,male,gemini,it's fun to think about,no,english (fluently),single,FALSE,FALSE,TRUE,TRUE
32,a little extra,NA,NA,rarely,NA,two-year college,working on,white,72,60000,other,NA,NA,straight,NA,NA,male,scorpio,NA,no,english,seeing someone,TRUE,FALSE,TRUE,TRUE
32,average,anything,mostly,socially,never,masters program,graduated from,hispanic / latin,66,NA,computer / hardware / software,doesn't want kids,FALSE,straight,atheism,somewhat serious,male,sagittarius,it doesn't matter,no,"english (fluently), spanish (fluently)",single,FALSE,FALSE,TRUE,NA
53,curvy,NA,NA,socially,NA,college/university,graduated from,"hispanic / latin, white",64,NA,artistic / musical / writer,doesn't have kids,FALSE,straight,NA,NA,female,sagittarius,it's fun to think about,when drinking,"english (fluently), spanish (okay)",single,FALSE,FALSE,TRUE,NA
57,thin,anything,mostly,rarely,never,dropped out of college/university,NA,white,70,NA,other,"has kids, but doesn't want more",TRUE,straight,atheism,NA,male,pisces,it doesn't matter,no,english,single,TRUE,FALSE,TRUE,NA
56,fit,vegetarian,mostly,socially,never,masters program,graduated from,white,64,NA,education / academia,has kids,TRUE,straight,buddhism,somewhat serious,female,taurus,it doesn't matter,no,english,single,FALSE,FALSE,TRUE,TRUE
30,average,anything,strictly,rarely,never,masters program,graduated from,asian,71,NA,medicine / health,"doesn't have kids, but might want them",FALSE,straight,christianity,NA,male,gemini,it doesn't matter,no,"english (fluently), korean (fluently)",single,FALSE,FALSE,TRUE,NA
39,fit,vegetarian,mostly,socially,NA,masters program,graduated from,white,63,NA,NA,NA,NA,straight,catholicism,laughing,female,NA,NA,no,"english (fluently), spanish (poorly), c++ (poorly)",single,FALSE,FALSE,TRUE,TRUE
27,NA,NA,NA,socially,never,masters program,working on,"asian, white",69,NA,NA,NA,NA,straight,NA,NA,male,aries,NA,when drinking,"english, japanese",seeing someone,NA,NA,NA,NA
33,NA,NA,NA,often,never,NA,NA,hispanic / latin,72,NA,NA,NA,NA,straight,NA,NA,male,NA,NA,NA,"english, spanish",single,TRUE,FALSE,TRUE,NA
49,average,anything,mostly,socially,never,college/university,graduated from,white,71,NA,executive / management,has kids,TRUE,straight,christianity,somewhat serious,male,leo,it's fun to think about,no,english,single,FALSE,TRUE,TRUE,TRUE
39,average,anything,NA,socially,never,college/university,graduated from,white,65,NA,other,NA,NA,gay,NA,NA,male,aries,it's fun to think about,no,"english (fluently), french (poorly), spanish (poorly)",single,FALSE,FALSE,TRUE,NA
41,thin,NA,NA,socially,NA,college/university,graduated from,white,67,NA,NA,NA,NA,straight,agnosticism,laughing,male,libra,it doesn't matter,sometimes,"english (fluently), french (poorly), spanish (poorly)",single,FALSE,TRUE,NA,TRUE
37,fit,NA,NA,socially,NA,college/university,graduated from,NA,72,NA,NA,NA,NA,gay,NA,NA,male,aries,it doesn't matter,NA,"english, spanish (okay)",single,NA,NA,NA,NA
25,jacked,NA,NA,socially,sometimes,masters program,working on,"middle eastern, native american, white, other",73,30000,education / academia,NA,NA,straight,agnosticism,laughing,male,aquarius,it's fun to think about,no,"english (fluently), german (okay)",single,FALSE,FALSE,TRUE,TRUE
56,athletic,vegetarian,mostly,socially,never,college/university,graduated from,white,67,100000,executive / management,has kids,TRUE,straight,christianity,somewhat serious,male,NA,NA,no,english,single,FALSE,FALSE,TRUE,TRUE
30,curvy,NA,NA,often,sometimes,college/university,working on,white,62,NA,artistic / musical / writer,doesn't want kids,FALSE,straight,atheism,NA,female,sagittarius,NA,when drinking,english,single,TRUE,FALSE,TRUE,TRUE
27,fit,other,mostly,often,NA,college/university,working on,black,63,NA,sales / marketing / biz dev,NA,NA,gay,other,laughing,female,aries,it doesn't matter,no,"english (fluently), other (fluently)",single,FALSE,FALSE,TRUE,TRUE
26,average,anything,mostly,socially,never,college/university,graduated from,white,66,NA,other,doesn't have kids,FALSE,straight,judaism,laughing,male,NA,NA,no,english (fluently),single,FALSE,FALSE,TRUE,TRUE
32,average,anything,strictly,socially,never,college/university,graduated from,asian,66,NA,political / government,"doesn't have kids, but wants them",FALSE,straight,agnosticism,not too serious,male,aquarius,it doesn't matter,no,"english (fluently), korean (fluently), german (poorly), japanese (poorly)",single,FALSE,FALSE,TRUE,FALSE
26,average,anything,NA,socially,never,college/university,working on,white,62,NA,clerical / administrative,doesn't have kids,FALSE,straight,atheism,NA,female,capricorn,NA,trying to quit,english (fluently),single,FALSE,TRUE,TRUE,TRUE
30,athletic,anything,mostly,often,sometimes,college/university,graduated from,white,69,NA,other,"doesn't have kids, but might want them",FALSE,straight,other,laughing,male,aries,it doesn't matter,no,"english, spanish (okay), hawaiian (fluently)",single,FALSE,FALSE,TRUE,TRUE
42,average,anything,mostly,socially,never,college/university,graduated from,hispanic / latin,65,NA,education / academia,"has kids, but doesn't want more",TRUE,straight,other,somewhat serious,female,gemini,it doesn't matter,no,"english (okay), spanish (fluently)",single,FALSE,FALSE,TRUE,TRUE
37,fit,NA,NA,socially,never,college/university,graduated from,asian,63,NA,hospitality / travel,NA,NA,straight,catholicism,NA,female,leo,NA,no,english,single,NA,NA,NA,NA
47,fit,NA,NA,not at all,never,masters program,graduated from,white,69,NA,computer / hardware / software,NA,NA,gay,other,NA,male,scorpio,it doesn't matter,no,"english, french (okay), german (okay)",single,FALSE,FALSE,TRUE,TRUE
23,average,anything,mostly,socially,never,two-year college,graduated from,white,69,20000,entertainment / media,NA,NA,straight,NA,NA,female,aries,it's fun to think about,no,english,single,TRUE,FALSE,TRUE,TRUE
56,fit,vegetarian,NA,often,never,dropped out of college/university,NA,white,65,NA,artistic / musical / writer,has kids,TRUE,straight,atheism,laughing,female,scorpio,it's fun to think about,no,english,single,FALSE,TRUE,TRUE,TRUE
25,fit,vegetarian,mostly,socially,never,dropped out of masters program,NA,white,72,NA,science / tech / engineering,NA,NA,straight,other,NA,male,virgo,NA,no,"english, c++, spanish (poorly)",single,FALSE,FALSE,TRUE,NA
26,curvy,NA,NA,socially,NA,masters program,graduated from,hispanic / latin,62,NA,NA,NA,NA,straight,catholicism,NA,female,libra,it's fun to think about,NA,"english (fluently), spanish",single,FALSE,FALSE,TRUE,NA
28,fit,vegetarian,NA,socially,never,masters program,graduated from,indian,67,NA,executive / management,NA,NA,straight,hinduism,not too serious,male,cancer,it doesn't matter,no,"english, hindi",single,NA,NA,NA,NA
34,fit,NA,NA,NA,never,NA,NA,white,69,NA,NA,NA,NA,straight,NA,NA,male,aries,it's fun to think about,no,english,single,NA,NA,NA,NA
33,skinny,anything,strictly,socially,never,ph.d program,working on,white,65,NA,education / academia,NA,NA,straight,agnosticism,not too serious,male,taurus,it doesn't matter,when drinking,"english, spanish (poorly), korean (poorly)",single,FALSE,FALSE,TRUE,NA
23,athletic,anything,mostly,socially,never,college/university,graduated from,white,74,NA,sales / marketing / biz dev,NA,NA,straight,christianity,laughing,male,NA,NA,no,"english, chinese (okay)",single,FALSE,FALSE,TRUE,NA
46,athletic,NA,NA,NA,never,NA,NA,NA,64,NA,NA,NA,NA,straight,NA,NA,female,NA,NA,NA,"english, spanish",single,NA,NA,NA,NA
26,fit,anything,strictly,socially,NA,college/university,graduated from,asian,71,NA,sales / marketing / biz dev,NA,NA,gay,agnosticism,not too serious,male,leo,it's fun to think about,yes,"english (fluently), tagalog (okay)",single,FALSE,FALSE,TRUE,TRUE
30,thin,anything,mostly,socially,NA,NA,NA,asian,66,NA,NA,NA,NA,straight,NA,NA,female,pisces,it's fun to think about,yes,"english, portuguese (fluently)",single,FALSE,FALSE,TRUE,TRUE
34,average,NA,NA,rarely,never,NA,NA,white,74,NA,computer / hardware / software,NA,NA,straight,NA,NA,male,NA,NA,no,english (fluently),single,FALSE,FALSE,TRUE,TRUE
29,fit,anything,mostly,often,never,masters program,graduated from,white,77,40000,education / academia,NA,NA,straight,judaism,somewhat serious,male,gemini,it's fun to think about,no,english,single,NA,NA,NA,NA
64,average,NA,NA,socially,never,college/university,graduated from,white,68,NA,sales / marketing / biz dev,has a kid,TRUE,straight,NA,NA,male,gemini,it doesn't matter,no,"english, english",single,FALSE,FALSE,TRUE,TRUE
25,average,anything,mostly,often,NA,space camp,working on,white,69,NA,NA,NA,NA,straight,NA,NA,female,aquarius,NA,trying to quit,english (fluently),single,FALSE,TRUE,TRUE,TRUE
28,jacked,anything,mostly,rarely,NA,two-year college,graduated from,asian,66,40000,other,"doesn't have kids, but might want them",FALSE,straight,NA,NA,male,leo,it's fun to think about,no,"english (fluently), chinese (fluently), spanish (poorly), vietnamese (poorly), japanese (poorly)",single,FALSE,FALSE,TRUE,NA
27,average,NA,NA,socially,sometimes,college/university,working on,white,70,NA,hospitality / travel,NA,NA,straight,NA,NA,male,taurus,NA,trying to quit,english,single,FALSE,FALSE,TRUE,NA
48,fit,kosher,NA,rarely,never,space camp,working on,white,66,NA,law / legal services,NA,NA,gay,judaism,very serious,female,scorpio,NA,no,"english (fluently), spanish (poorly), hebrew (okay)",single,FALSE,TRUE,TRUE,TRUE
38,fit,NA,NA,rarely,sometimes,masters program,graduated from,white,67,50000,other,NA,NA,straight,NA,NA,female,libra,it's fun to think about,no,"english, german (fluently), french (poorly)",single,NA,NA,NA,NA
49,athletic,other,NA,socially,NA,ph.d program,graduated from,white,80,NA,medicine / health,NA,NA,straight,other,somewhat serious,male,aries,NA,no,"english, italian (poorly), german (poorly), spanish (poorly), greek (poorly)",single,FALSE,TRUE,TRUE,TRUE
